task_id,system,step_number,reasoning_trace,detector_flagged_F1,annotator_A_label,annotator_B_label,adjudicated_label
L1_01,TRACE,0,The issue is being investigated through check_db_connections based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_01,TRACE,1,The issue is being investigated through search_knowledge_base based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_01,TRACE,2,The issue is being investigated through restart_connection_pool based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_01,TRACE,3,The issue is being investigated through check_service_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_02,TRACE,0,The issue is being investigated through check_auth_logs based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_02,TRACE,1,The issue is being investigated through search_knowledge_base based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_02,TRACE,2,The issue is being investigated through restart_auth_service based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_02,TRACE,3,The issue is being investigated through check_service_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_03,TRACE,0,The issue is being investigated through check_network_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_03,TRACE,1,The issue is being investigated through search_knowledge_base based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_03,TRACE,2,The issue is being investigated through reset_network_route based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_03,TRACE,3,The issue is being investigated through check_service_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_04,TRACE,0,The issue is being investigated through check_pipeline_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_04,TRACE,1,The issue is being investigated through search_knowledge_base based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_04,TRACE,2,The issue is being investigated through rollback_deployment based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_04,TRACE,3,The issue is being investigated through check_service_status based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_05,TRACE,0,The issue is being investigated through check_db_connections based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_05,TRACE,1,The issue is being investigated through search_knowledge_base based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
L1_05,TRACE,2,The issue is being investigated through restart_connection_pool based on the observed incident evidence.,TRUE,TRUE,TRUE,TRUE
