task_id,system,failure_type_in_handoff,last_verified_state_in_handoff,annotator_A_correct,annotator_B_correct,adjudicated_correct
L3_01,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_02,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_03,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_04,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_05,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_06,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_07,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_08,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_09,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_10,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_11,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_12,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_13,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_14,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_15,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_01,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_02,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_03,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_04,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_05,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_06,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_07,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_08,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_09,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L4_10,vanilla_react,s_HE,step 2,TRUE,TRUE,TRUE
L3_01,self_reflection,s_HE,step 2,TRUE,TRUE,TRUE
L3_02,self_reflection,s_HE,step 2,TRUE,TRUE,TRUE
L3_03,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_04,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_05,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
